"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
<<<<<<< HEAD
"1",1,3.02873322932917,0.606648013902137,3.967,6.85035103186978,8,1.1845173348361,34.821365696169,4,4.35267071202112
"2",2,3.95706962025316,3.97299945817163,14.05,2.92639516755539,4.37323714635535,0.523553372496728,20.2457227155208,3,4.62945914844649
"3",3,7.0950227936879,6.15887233460664,17.885,2.20512890741136,4.14157580744329,0.437490988795168,30.778613196695,1,7.43161893629456
"4",4,12.4642819037657,1.77265382874788,19.888,3.67791533006829,7.46515298417257,0.690975368314856,96.6799781349797,11,12.9508368200837
"5",5,3.99594901144641,3.83949270932604,14.7,3.41600542776834,8,0.778445946923347,89.5558316043039,11,11.194478950538
"6",6,2.73345733610822,2.47436538212298,12.286,5.09115297156699,8,0.970259470576389,71.1831319475504,12,8.8978914934438
"7",7,5.12435777431097,4.50101106261368,12.42,6.67139962828424,8,1.1483001369038,87.3246019034171,12,10.9155752379271
"8",8,2.27146982310094,0.671681879300465,3.388,6.66216097699415,8,1.15829311105564,26.6555382867804,3,3.33194228584756
"9",9,1.75386212278876,0.233967018127208,2.417,7.99834820995812,8,1.37169684647723,19.9983482099581,2,2.49979352624477
"10",10,2.1531737773153,0.390455922162387,3.228,5.15781888349332,8,0.996945884564772,25.1578188834933,3,3.14472736043667
"11",11,1.78170790531487,0.349397178408395,2.685,4.99044870708661,8,0.959833899056393,24.6796897911331,3,3.08496122389164
"12",12,4.94185707905315,5.51802241049527,18.332,2.44395302138479,8,0.61267237545187,116.909141441464,17,14.613642680183
"13",13,4.66736813681368,3.49992007053932,22.053,3.72114123964679,7.3171467561904,0.665159038101786,37.4913212507776,3,5.12376237623762
"14",14,2.554418230563,1.19692922821356,11.515,6.51708146748959,7.95268719969558,1.1227292989244,23.6803876223286,2,2.97765862377122
"15",15,3.11464803220036,1.61744467425428,19.03,2.74582712078105,7.86129249944486,0.724696640507914,28.8153637412568,2,3.6654740608229
"16",16,4.41812639571237,2.4778840214916,13.025,4.85557784225903,8,0.869133188680523,84.0672660811558,13,10.5084082601445
"17",17,6.72336879063719,3.48386543582361,17.214,1.23712996025804,2.24375693263782,0.227712167478257,16.390513093749,5,7.30494148244473
"18",18,8.73046231397024,7.77888624886073,28.639,2.36649748128326,4.89029191816769,0.424746981903083,45.5280777835175,2,9.30988958233317
"19",19,1.6027299270073,2.07132708241806,32.1,1.2995660081639,1.55569406608358,0.225555119655481,2.82560978182821,1,1.81630170316302
"20",20,10.5128764478764,11.4181830492849,32.9,1.84233585260284,3.17203694280052,0.329242246617948,34.8687866803878,2,10.9925537782681
=======
"1",1,2.97873322932917,0.606648013902137,3.917,6.84708591022473,8,1.18157338869317,34.7217270999917,4,4.34021588749896
"2",2,3.90706962025316,3.97299945817163,14,2.46088948741975,4.37323714635535,0.45314287625903,19.7726682946262,3,4.52128883774453
"3",3,7.0450227936879,6.15887233460664,17.835,2.20512890741136,4.14157580744329,0.437354607398316,30.7713515208199,1,7.42986557568673
"4",4,12.4142819037657,1.77265382874788,19.838,3.67791533006829,7.46515298417257,0.691020158810631,96.6526475539707,11,12.9471757322176
"5",5,3.94594901144641,3.83949270932604,14.65,3.41075493904211,8,0.7620996509957,89.3971161582503,11,11.1746395197813
"6",6,2.68345733610822,2.47436538212298,12.236,5.09115297156699,8,0.970259470576389,71.1831319475504,12,8.8978914934438
"7",7,5.07435777431097,4.50101106261368,12.37,6.67139962828424,8,1.1483001369038,87.3246019034171,12,10.9155752379271
"8",8,2.22146982310094,0.671681879300465,3.338,6.65040561930976,8,1.15220469108325,26.5017985080825,3,3.31272481351032
"9",9,1.70386212278876,0.233967018127208,2.367,7.85075956261983,8,1.34586173224984,19.8507595626198,2,2.48134494532748
"10",10,2.1031737773153,0.390455922162387,3.178,5.09971958765916,8,0.992610019429395,25.0958613915894,3,3.13698267394867
"11",11,1.73170790531487,0.349397178408395,2.635,4.59495362858225,8,0.934277276401925,24.2665531921639,3,3.03331914902049
"12",12,4.89185707905315,5.51802241049527,18.282,2.42188741505513,8,0.607995560799189,116.770785662279,17,14.5963482077849
"13",13,4.61736813681368,3.49992007053932,22.003,3.72114123964679,7.3171467561904,0.67549589890334,36.8821078619858,3,5.04050405040504
"14",14,2.504418230563,1.19692922821356,11.465,6.52418842655992,7.95268719969558,1.12410126329254,23.6484063065121,2,2.97363717605004
"15",15,3.06464803220036,1.61744467425428,18.98,2.99544776812479,7.86129249944486,0.729339721765354,28.5551957426168,2,3.63237924865832
"16",16,4.36812639571237,2.4778840214916,12.975,4.83619327090132,8,0.866510134639023,83.9625934731718,13,10.4953241841465
"17",17,6.67336879063719,3.48386543582361,17.164,1.13354950367984,2.24375693263782,0.216763551288708,16.2694260811294,5,7.25097529258778
"18",18,8.68046231397024,7.77888624886073,28.589,2.36649748128326,4.89029191816769,0.421872178445012,45.3449559546086,2,9.27244359097456
"19",19,1.5527299270073,2.07132708241806,32.05,1.32101515587146,1.55569406608358,0.228628282088529,2.80416063412065,1,1.80251419302514
"20",20,10.4628764478764,11.4181830492849,32.85,1.84233585260284,3.17203694280052,0.329428988508625,34.8477914000162,2,10.9859349145063
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
