"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.0419952445458702
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0.151182880365133
"9",1,8,0.413653158776822
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0.220475033865819
<<<<<<< HEAD
"16",1,15,1.50762927919674
"17",1,16,0.0167980978183481
"18",1,17,0.31706409632132
"19",1,18,0.0503942934550442
"20",1,19,0.0440950067731637
"21",1,20,0.363258865321777
=======
"16",1,15,1.52232761478779
"17",1,16,0.00629928668188053
"18",1,17,0.335961956366962
"19",1,18,0.0272969089548156
"20",1,19,0.151182880365133
"21",1,20,0.256170991729808
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"22",1,21,0
"23",2,0,0
"24",2,1,0.00377393169741267
"25",2,2,0.116991882619793
"26",2,3,0
"27",2,4,0
<<<<<<< HEAD
"28",2,5,0.456645735386933
"29",2,6,0.660438047047217
"30",2,7,1.3095542990022
"31",2,8,0.237757696936998
"32",2,9,2.85309236324398
"33",2,10,0.543446164427424
=======
"28",2,5,0.554767959519662
"29",2,6,0.581185481401551
"30",2,7,1.33597182088408
"31",2,8,0.196244448265459
"32",2,9,3.05688467490426
"33",2,10,0.335879921069727
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"34",2,11,0.00377393169741267
"35",2,12,0.445323940294695
"36",2,13,0.184922653173221
"37",2,14,0.05660897546119
"38",2,15,0.00754786339482533
"39",2,16,0
"40",2,17,0
"41",2,18,0
"42",2,19,0
"43",2,20,0
"44",2,21,0
"45",3,0,0
"46",3,1,0
<<<<<<< HEAD
"47",3,2,1.19564515609702
"48",3,3,0.00177088118829778
"49",3,4,0
"50",3,5,0.162450037788204
"51",3,6,0.0378329432114944
"52",3,7,0.375936068347893
"53",3,8,0.0692407419005572
"54",3,9,2.08569366237768
"55",3,10,3.33432815711393
=======
"47",3,2,1.19741603728532
"48",3,3,0
"49",3,4,0
"50",3,5,0.162450037788204
"51",3,6,0.0442713921900437
"52",3,7,0.369497619369343
"53",3,8,0.0922521416593907
"54",3,9,3.40650995212446
"55",3,10,1.99050046760831
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"56",3,11,0
"57",3,12,0
"58",3,13,0
"59",3,14,0
"60",3,15,0.737102351974927
"61",3,16,0
"62",3,17,0
"63",3,18,0
"64",3,19,0
"65",3,20,0
"66",3,21,0
"67",4,0,0
"68",4,1,0
"69",4,2,0.175170574868752
<<<<<<< HEAD
"70",4,3,0.0472370089533713
"71",4,4,0.00196820870639047
=======
"70",4,3,0.0492052176597617
"71",4,4,0
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"72",4,5,0
"73",4,6,0
"74",4,7,0
"75",4,8,0.0728237221364474
<<<<<<< HEAD
"76",4,9,0.978199727076064
"77",4,10,0.145647444272895
"78",4,11,0
"79",4,12,0
"80",4,13,0.255867131830761
"81",4,14,0.330659062673599
"82",4,15,0.0688873047236664
"83",4,16,0.383800697746142
"84",4,17,0.118092522383428
"85",4,18,0.206661914170999
=======
"76",4,9,1.02543673602943
"77",4,10,0.0984104353195235
"78",4,11,0
"79",4,12,0
"80",4,13,0.263739966656323
"81",4,14,0.324754436554427
"82",4,15,0.066919096017276
"83",4,16,0.383800697746142
"84",4,17,0.129901774621771
"85",4,18,0.194852661932656
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"86",4,19,0
"87",4,20,0
"88",4,21,0.00196820870639047
"89",5,0,0
"90",5,1,0
"91",5,2,0
<<<<<<< HEAD
"92",5,3,1.17038669253471
"93",5,4,1.96145138222575
"94",5,5,0.0162103420018657
"95",5,6,1.20604944493881
"96",5,7,0
"97",5,8,0
"98",5,9,0.0259365472029852
"99",5,10,0.797548826491793
"100",5,11,0.00648413680074629
=======
"92",5,3,1.4362363013653
"93",5,4,1.70532797859627
"94",5,5,0.0291786156033583
"95",5,6,1.1833549661362
"96",5,7,0
"97",5,8,0
"98",5,9,0.0259365472029852
"99",5,10,0.80403296329254
"100",5,11,0
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"101",5,12,0
"102",5,13,0
"103",5,14,0
"104",5,15,0
"105",5,16,0.201008240823135
"106",5,17,0.00324206840037314
"107",5,18,0.301512361234702
"108",5,19,0
<<<<<<< HEAD
"109",5,20,0.00648413680074629
"110",5,21,0.068083436407836
"111",6,0,0
"112",6,1,0
"113",6,2,0
"114",6,3,0.00178437883006334
"115",6,4,0.285500612810134
"116",6,5,0.137397169914877
=======
"109",5,20,0.00972620520111943
"110",5,21,0.0648413680074629
"111",6,0,0
"112",6,1,0
"113",6,2,0
"114",6,3,0.00356875766012667
"115",6,4,0.29442250696045
"116",6,5,0.126690896934497
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"117",6,6,0
"118",6,7,0.01070627298038
"119",6,8,0
"120",6,9,0.0196281671306967
<<<<<<< HEAD
"121",6,10,0.201634807797157
"122",6,11,0.285500612810134
"123",6,12,0
"124",6,13,0.151672200555383
"125",6,14,0.0820814261829134
"126",6,15,0.1605940947057
"127",6,16,0.28906937047026
"128",6,17,0.221262974927854
"129",6,18,0.169515988856017
"130",6,19,0.0285500612810134
"131",6,20,0.206987944287347
"132",6,21,0.0410407130914567
"133",7,0,0
"134",7,1,0
"135",7,2,1.22066845713567
"136",7,3,1.56801314006045
=======
"121",6,10,0.215909838437664
"122",6,11,0.271225582169627
"123",6,12,0
"124",6,13,0.151672200555383
"125",6,14,0.0820814261829134
"126",6,15,0.255166172699057
"127",6,16,0.201634807797157
"128",6,17,0.223047353757917
"129",6,18,0.164162852365827
"130",6,19,0.0410407130914567
"131",6,20,0.201634807797157
"132",6,21,0.0303344401110767
"133",7,0,0
"134",7,1,0
"135",7,2,1.5580890062626
"136",7,3,1.23059259093352
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"137",7,4,0
"138",7,5,0
"139",7,6,0
"140",7,7,0
"141",7,8,0
"142",7,9,0
"143",7,10,0
"144",7,11,0
"145",7,12,0
"146",7,13,0
"147",7,14,0
<<<<<<< HEAD
"148",7,15,0
"149",7,16,0.0148862006967764
"150",7,17,1.09661678466253
"151",7,18,0.101722371427972
"152",7,19,0.0223293010451646
"153",7,20,0.0347344682924783
"154",7,21,0
"155",8,0,0
"156",8,1,0
"157",8,2,3.89781582583672
"158",8,3,0.916635414903715
=======
"148",7,15,0.00248103344946274
"149",7,16,0.0148862006967764
"150",7,17,1.09661678466253
"151",7,18,0.0992413379785095
"152",7,19,0.0248103344946274
"153",7,20,0.0322534348430156
"154",7,21,0
"155",8,0,0
"156",8,1,0
"157",8,2,4.02191415893138
"158",8,3,0.792537081809058
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"159",8,4,0
"160",8,5,0
"161",8,6,0
"162",8,7,0
"163",8,8,0
"164",8,9,0
"165",8,10,0
"166",8,11,0
"167",8,12,0
"168",8,13,0
"169",8,14,0
"170",8,15,0
"171",8,16,0.0112816666449688
"172",8,17,0.014102083306211
"173",8,18,0
"174",8,19,0
"175",8,20,0
"176",8,21,0
"177",9,0,0
"178",9,1,0
<<<<<<< HEAD
"179",9,2,2.36901240599341
"180",9,3,1.23771644258445
=======
"179",9,2,2.47774637384663
"180",9,3,1.12898247473124
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"181",9,4,0
"182",9,5,0
"183",9,6,0
"184",9,7,0
"185",9,8,0
"186",9,9,0
"187",9,10,0
"188",9,11,0
"189",9,12,0
"190",9,13,0
"191",9,14,0.0300753528104632
"192",9,15,0.00694046603318383
"193",9,16,0
"194",9,17,0
"195",9,18,0
<<<<<<< HEAD
"196",9,19,0
"197",9,20,0.0138809320663677
"198",9,21,0
"199",10,0,0
"200",10,1,0
"201",10,2,1.02909852766911
"202",10,3,2.10088891565638
=======
"196",9,19,0.00231348867772794
"197",9,20,0.0115674433886397
"198",9,21,0
"199",10,0,0
"200",10,1,0.00224694001674479
"201",10,2,1.22458230912591
"202",10,3,1.90315819418283
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"203",10,4,0
"204",10,5,0
"205",10,6,0
"206",10,7,0
"207",10,8,0
"208",10,9,0
"209",10,10,0
"210",10,11,0
"211",10,12,0
"212",10,13,0
"213",10,14,0
"214",10,15,0.031457160234427
<<<<<<< HEAD
"215",10,16,0.271879742026119
"216",10,17,0.0584204404353644
=======
"215",10,16,0.285361382126588
"216",10,17,0.0449388003348957
>>>>>>> 008fafd7570f4d03bc81e39fa9df4a92a032c475
"217",10,18,0
"218",10,19,0
"219",10,20,0
"220",10,21,0
