"",".id","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","x.counter","sum.dee","fee","cvr","olai","vai"
"1","1",1,0,0,0,1923,1923,1,0,1,0,1,7.56216163122565,0,0,8,0
"2","1",1,1,0,0,1923,1923,1,0,1,0,1,7.56216163122565,0,0,8,0
"3","1",1,2,52,0,1923,1923,1,52,0.972972972972973,0.0273989741881143,1,7.56216163122565,0.00362316696260215,0.0270410816432657,8,0.0289853357008172
"4","1",1,3,1223,0,1923,1923,1,1275,0.337318087318087,1.05932994033345,1,7.56216163122565,0.140082954053675,0.635985439417577,8,1.1206636324294
"5","1",1,4,648,0,1923,1923,1,1923,0.00051975051975052,6.47543271670409,1,7.56216163122565,0.856293878983723,0.336973478939158,8,6.85035103186978
"6","1",1,5,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"7","1",1,6,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"8","1",1,7,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"9","1",1,8,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"10","1",1,9,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"11","1",1,10,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"12","1",1,11,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"13","1",1,12,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"14","1",1,13,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"15","1",1,14,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"16","1",1,15,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"17","1",1,16,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"18","1",1,17,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"19","1",1,18,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"20","1",1,19,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"21","1",1,20,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"22","1",1,21,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"23","1",1,22,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"24","1",1,23,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"25","1",1,24,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"26","1",1,25,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"27","1",1,26,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"28","1",1,27,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"29","1",1,28,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"30","1",1,29,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"31","1",1,30,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"32","1",1,31,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"33","1",1,32,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"34","1",1,33,0,0,1923,1923,1,1923,0.00051975051975052,0,1,7.56216163122565,0,0,8,0
"35","2",2,0,0,0,1738,1922,1,0,1,0,1,1.98821963215386,0,0,4.37323714635535,0
"36","2",2,1,329,184,1738,1922,1,329,0.810701956271576,0.209854793926657,1,1.98821963215386,0.105549100578651,0.189298043728423,4.37323714635535,0.827845236565541
"37","2",2,2,7,184,1738,1922,1,336,0.806674338319908,0.00498044430414475,1,1.98821963215386,0.00250497692689483,0.00402761795166858,4.37323714635535,0.0176137284375647
"38","2",2,3,1163,184,1738,1922,1,1499,0.137514384349827,1.76919151566302,1,1.98821963215386,0.889837061787001,0.669159953970081,4.37323714635535,2.92639516755539
"39","2",2,4,0,0,1738,1922,1,1499,0.137514384349827,0,1,1.98821963215386,0,0,4.37323714635535,0
"40","2",2,5,0,0,1738,1922,1,1499,0.137514384349827,0,1,1.98821963215386,0,0,4.37323714635535,0
"41","2",2,6,0,0,1738,1922,1,1499,0.137514384349827,0,1,1.98821963215386,0,0,4.37323714635535,0
"42","2",2,7,0,0,1738,1922,1,1499,0.137514384349827,0,1,1.98821963215386,0,0,4.37323714635535,0
"43","2",2,8,0,0,1738,1922,1,1499,0.137514384349827,0,1,1.98821963215386,0,0,4.37323714635535,0
"44","2",2,9,0,0,1738,1922,1,1499,0.137514384349827,0,1,1.98821963215386,0,0,4.37323714635535,0
"45","2",2,10,0,0,1738,1922,1,1499,0.137514384349827,0,1,1.98821963215386,0,0,4.37323714635535,0
"46","2",2,11,0,0,1738,1922,1,1499,0.137514384349827,0,1,1.98821963215386,0,0,4.37323714635535,0
"47","2",2,12,0,0,1738,1922,1,1499,0.137514384349827,0,1,1.98821963215386,0,0,4.37323714635535,0
"48","2",2,13,1,184,1738,1922,1,1500,0.136939010356732,0.00419287826003596,1,1.98821963215386,0.00210886070745301,0.000575373993095512,4.37323714635535,0.0025162469196521
"49","2",2,14,238,184,1738,1922,1,1738,0,0,1,1.98821963215386,0,0.136939010356732,4.37323714635535,0.5988667668772
"50","2",2,15,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"51","2",2,16,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"52","2",2,17,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"53","2",2,18,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"54","2",2,19,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"55","2",2,20,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"56","2",2,21,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"57","2",2,22,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"58","2",2,23,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"59","2",2,24,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"60","2",2,25,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"61","2",2,26,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"62","2",2,27,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"63","2",2,28,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"64","2",2,29,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"65","2",2,30,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"66","2",2,31,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"67","2",2,32,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"68","2",2,33,0,0,1738,1922,1,1738,0,0,1,1.98821963215386,0,0,4.37323714635535,0
"69","3",3,0,0,0,1711,1922,1,0,1,0,1,4.4491010003382,0,0,4.14157580744329,0
