"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
<<<<<<< HEAD
"1",1,7.16783135283364,2.30561507729893,21.059,2.88390751724976,8,0.466181657615576,106.864568508751,21,13.3580710635939
"2",2,3.31316001834021,2.64945476121443,8.315,3.49472954350989,7.68347291773696,0.441427311972221,29.3758087687069,2,3.8232462173315
"3",3,4.05649725776965,2.05975426515467,9.868,4.04097595566807,8,0.460168082923296,62.432934848151,8,7.80411685601888
"4",4,4.74903747714808,2.72476664030824,19.72,2.39503335115221,8,0.326325595374117,104.658948479777,18,13.0823685599722
"5",5,4.37359323583181,1.53353909903133,8.119,3.9823604617669,8,0.506870359031284,57.4883970232492,8,7.18604962790615
"6",6,3.75766143187067,1.68224707772453,17.079,2.62914903540174,7.10625176235301,0.362932472309375,30.5732942450056,4,4.30230946882217
"7",7,2.67872257769653,0.714728217937794,5.223,3.33615706758219,8,0.465283931442941,34.8604729836838,4,4.35755912296047
"8",8,3.43544966936076,1.2554013744154,7.788,1.14630541095357,1.88648327002153,0.127375412621784,7.25970325256263,3,3.84827332843497
"9",9,2.88816923076923,0.951351246251823,3.882,1.37034548271546,3.73820728642352,0.209792893460158,12.5562119013212,4,3.35888594164456
"10",10,5.33121435228332,3.33763585225183,89.1,2.17422315491218,6.60889927824581,0.342388894601477,37.9688346698474,3,5.74510717614166
"11",11,6.16951125,1.15129365630596,14.41,3.65098478037148,8,0.518040441215106,82.3380298799358,14,10.292253734992
"12",12,5.089344375,0.628742912932194,7.359,3.65098478037148,8,0.519577490644226,54.4312122095889,14,6.80390152619861
"13",13,4.5402220137586,2.16584122898059,9.692,3.49035620698142,8,0.439060022537967,68.8490510775945,10,8.60613138469931
"14",14,6.021768125,3.15763281054224,15.92,3.03953872821066,8,0.456383435467471,94.8748057643611,15,11.8593507205451
"15",15,4.2967025,4.3519159206442,16.949,3.97221048797062,8,0.459765629773369,107.29553657421,17,13.4119420717763
"16",16,1.94785178236398,0.855299527371648,7.374,4.0267751905667,8,0.592939001642737,40.1338759528335,7,5.01673449410419
"17",17,2.835981875,1.22143157543921,6.463,4.76467402684065,8,0.533176546477415,44.4130452315933,6,5.55163065394916
"18",18,3.95609875640088,3.99869092302137,17.386,1.882735790921,3.65582361674574,0.220998762176953,16.2613280918965,3,4.44806144842721
"19",19,1.7967641261498,0.117046634898869,2.101,5.18475939357365,5.43097301928362,0.546846153592697,13.3312189224991,2,2.45466491458607
"20",20,2.02762226391495,0.324259994965532,3.113,5.61881581086985,8,0.640663439031455,25.6188158108699,3,3.20235197635873
"21",21,2.10414536989136,0.49047413267102,3.357,5.99493868511527,7.74095957136126,0.656189833770496,21.0984198146492,2,2.7255561303673
"22",22,4.51180557593544,2.8018869807805,19.968,1.61544356703596,2.34738761393391,0.175904796625842,11.9909657094753,4,5.10821716801174
"23",23,5.95876315789474,6.81315321129425,20.02,2.96221470819135,4.71105562674066,0.320915249665121,30.2341095149504,2,6.41769316909294
"24",24,8.28324142568931,5.98615093891542,18.93,1.33249581045548,2.79861761320241,0.157901085441279,24.7029290397365,3,8.82683254875588
"25",25,7.66965806451613,6.23387844819241,19.725,2.52381544928118,3.9917489248835,0.276833550361795,32.1552349611803,3,8.05542521994135
"26",26,4.06316507633588,5.07642586087464,20.519,0.848502654500572,1.51487356374208,0.0985119360731659,6.69840085341678,1,4.42175572519084
"27",27,2.55339628893307,0.755210680382241,12.528,1.47904782146211,2.89104036604447,0.19293920647831,8.94038427312559,2,3.09244532803181
"28",28,9.16853776435045,5.94485391387309,19.242,0.363583264552943,1.39937279729098,0.0582039013173762,13.6745356883313,2,9.77190332326284
"29",29,12.441893360161,1.80267920082998,16.235,0.211369926685043,0.580391456146224,0.0313635449213707,7.50713576626962,12,12.9346076458753
"30",30,5.24657534955981,5.17630388158393,20.018,3.06755889474316,7.69280029318057,0.37376965811601,45.3142190237092,2,5.89047125841533
"31",31,9.49027599243856,6.12888847221375,23.964,2.23504689393477,8,0.354663357777084,147.230954856099,24,18.4038693570124
"32",32,4.40741059602649,3.39868901137247,24.007,2.51001673822717,8,0.377984967596512,106.984182978449,3,13.3730228723062
